timestamp,latitude,longitude,heartRate,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magnetoX,magnetoY,magnetoZ
1706815721548,0.0,0.0,0.0,-0.44771573,6.8067155,7.1730285,-3.36,-11.58,-26.099998,0.04886922,0.062308256,0.056199603
1706815722658,0.0,0.0,0.0,-0.38307226,6.861782,7.1730285,-2.04,-12.3,-23.519999,0.004886922,-0.0012217305,0.018325957
1706815723781,0.0,0.0,0.0,-1.0366893,6.528988,7.5321584,-3.78,-11.219999,-27.96,-0.15393804,0.09407325,-0.0842994
1706815724894,0.0,0.0,0.0,0.14604631,3.9695864,6.991069,-2.76,-10.62,-25.619999,0.34697145,0.13316862,1.1972959
1706815726018,0.0,0.0,0.0,1.3599066,-2.0470424,7.991845,5.16,16.98,-33.18,-4.2504005,-1.4306464,1.6786577
1706815727134,0.0,0.0,0.0,4.537012,2.7605145,8.0924015,-13.08,26.279999,-18.24,0.18936823,-0.36285394,-0.3408628
1706815728255,0.0,0.0,0.0,4.1826706,2.6240451,8.669404,-21.18,10.5,-18.18,-0.05375614,0.19547687,-0.035430185
1706815729374,0.0,0.0,0.0,-0.035913024,-1.0366893,9.792285,-9.12,16.8,-26.82,-0.5009095,0.03176499,0.10751228
1706815730495,0.0,0.0,0.0,-1.103727,-0.7781156,11.314998,-2.52,32.579998,-24.9,0.48258355,-0.032986723,0.63041294
1706815731535,0.0,0.0,0.0,0.22505496,3.8522706,9.320627,-4.2,12.78,-33.66,-0.02076942,0.12217305,0.18203785
1706815732574,0.0,0.0,0.0,0.9768343,0.37110126,10.563218,-3.6,11.5199995,-33.54,-1.4001031,-0.4654793,0.19547687
1706815733694,0.0,0.0,0.0,1.5729905,-4.120421,8.39886,-5.7,31.5,-20.4,0.14782938,0.15393804,0.19303341
1706815734814,0.0,0.0,0.0,3.3758245,-6.931214,5.7269306,-6.2999997,47.579998,10.139999,0.047647487,0.10262536,0.12339478
1706815735934,0.0,0.0,0.0,2.9592333,-7.2448545,6.157887,-15.0,42.3,0.96,-0.017104227,-0.12950343,0.089186326
1706815737054,0.0,0.0,0.0,3.4739866,-5.8083334,7.1634517,-16.92,36.84,-4.2,-0.17470746,0.028099801,0.087964594
1706815738173,0.0,0.0,0.0,3.145981,-5.98311,7.074866,-17.039999,39.36,-3.12,-0.0036651916,-0.004886922,0.036651913
1706815739292,0.0,0.0,0.0,3.040636,-5.932832,7.249643,-14.94,39.48,-2.58,-0.002443461,0.002443461,0.008552114
1706815740410,0.0,0.0,80.0,3.1316159,-5.935226,7.3669586,-16.08,40.379997,-3.4199998,0.004886922,0.0012217305,0.007330383
1706815741531,0.0,0.0,80.0,3.1148565,-5.8562174,7.0844426,-15.059999,40.079998,-2.52,-0.0012217305,-0.002443461,-0.0036651916
1706815742650,0.0,0.0,80.0,3.0454245,-5.853823,7.141904,-16.14,39.84,-3.36,-0.002443461,0.008552114,-0.013439035
1706815743766,0.0,0.0,80.0,3.0430303,-5.9639564,7.2089415,-15.36,39.96,-3.24,0.0061086523,-0.0012217305,0.012217305
1706815744888,0.0,0.0,79.0,3.0190883,-5.9400144,7.2113357,-15.54,40.62,-2.52,0.012217305,-0.0012217305,0.004886922
